,Reporting period end date,Weekly total,Cumulative
0,11/29/2020,33,33
1,12/6/2020,39,72
2,12/13/2020,9170,9242
3,12/20/2020,29566,38808
4,12/27/2020,44126,82934
5,1/3/2021,56634,139568
6,1/10/2021,55757,195325
7,1/17/2021,87155,282480
8,1/24/2021,77412,359892
9,1/31/2021,50497,410389
10,2/7/2021,74306,484695
11,2/14/2021,84873,569568
12,2/21/2021,86482,656050
13,2/28/2021,149907,805957
14,3/7/2021,149235,955192
15,3/14/2021,129755,1084947
16,3/21/2021,149774,1234721
17,3/28/2021,157802,1392523
18,4/4/2021,200976,1593499
19,4/11/2021,170195,1763694
20,4/18/2021,132256,1895950
21,4/25/2021,92612,1988562
22,5/2/2021,52461,2041023
23,5/9/2021,65270,2106293
24,5/16/2021,81978,2188271
25,5/23/2021,44089,2232360
26,5/30/2021,26705,2259065
27,6/6/2021,24319,2283384
28,6/13/2021,21217,2304601
29,6/20/2021,19924,2324525
30,6/27/2021,18277,2342802
31,7/4/2021,15882,2358684
32,7/11/2021,18327,2377011
33,7/18/2021,22550,2399561
34,7/25/2021,26341,2425902
35,8/1/2021,29552,2455454
36,8/8/2021,26493,2481947
37,8/15/2021,25485,2507432
38,8/22/2021,24857,2532289
39,8/29/2021,21518,2553807
40,9/5/2021,16051,2569858
41,9/12/2021,16671,2586529
42,9/19/2021,16280,2602809
43,9/26/2021,15900,2618709
44,10/3/2021,13071,2631780
45,10/10/2021,11577,2643357
46,10/17/2021,12229,2655586
47,10/24/2021,16662,2672248
48,10/31/2021,21923,2694171
49,11/7/2021,44727,2738898
50,11/14/2021,39852,2778750
51,11/21/2021,23786,2802536
52,11/28/2021,24301,2826837
53,12/5/2021,28381,2855218
54,12/12/2021,27973,2883191
55,12/19/2021,23152,2906343
56,12/26/2021,23541,2929884
57,1/2/2022,25022,2954906
58,1/9/2022,21879,2976785
59,1/16/2022,15825,2992610
60,1/23/2022,11398,3004008
61,1/30/2022,9183,3013191
62,2/6/2022,8398,3021589
63,2/13/2022,6541,3028130
64,2/20/2022,5080,3033210
65,2/27/2022,4749,3037959
66,3/6/2022,3433,3041392
67,3/13/2022,3040,3044432
68,3/20/2022,2998,3047430
69,3/27/2022,3112,3050542
70,4/3/2022,3298,3053840
71,4/10/2022,3266,3057106
72,4/17/2022,2895,3060001
73,4/24/2022,2924,3062925
74,5/1/2022,2679,3065604
75,5/8/2022,2877,3068481
76,5/15/2022,2928,3071409
77,5/22/2022,2885,3074294
78,5/29/2022,1975,3076269
79,6/5/2022,2219,3078488
80,6/12/2022,2011,3080499
81,6/19/2022,4371,3084870
82,6/26/2022,4435,3089305
83,7/3/2022,3573,3092878
84,7/10/2022,4401,3097279
85,7/17/2022,3972,3101251
86,7/24/2022,3473,3104724
87,7/31/2022,3156,3107880
88,8/7/2022,3006,3110886
89,8/14/2022,2870,3113756
90,8/21/2022,3118,3116874
91,8/28/2022,1957,3118831
92,9/4/2022,1212,3120043
93,9/11/2022,403,3120446
