Week Start Date,Doses Administered Per Week,"Cumulative Total Doses Administered, by week",reportedDate,webDate
12/13/2020,6173,7173,8/7/2022,8/9/2022
12/20/2020,38298,45471,8/7/2022,8/9/2022
12/27/2020,52443,97914,8/7/2022,8/9/2022
1/3/2021,78517,176431,8/7/2022,8/9/2022
1/10/2021,91069,267500,8/7/2022,8/9/2022
1/17/2021,127418,394918,8/7/2022,8/9/2022
1/24/2021,207724,602642,8/7/2022,8/9/2022
1/31/2021,182613,785255,8/7/2022,8/9/2022
2/7/2021,199383,984638,8/7/2022,8/9/2022
2/14/2021,200970,1185608,8/7/2022,8/9/2022
2/21/2021,268357,1453965,8/7/2022,8/9/2022
2/28/2021,294454,1748419,8/7/2022,8/9/2022
3/7/2021,294139,2042558,8/7/2022,8/9/2022
3/14/2021,303309,2345867,8/7/2022,8/9/2022
3/21/2021,346308,2692175,8/7/2022,8/9/2022
3/28/2021,377406,3069581,8/7/2022,8/9/2022
4/4/2021,417381,3486962,8/7/2022,8/9/2022
4/11/2021,372995,3859957,8/7/2022,8/9/2022
4/18/2021,356881,4216838,8/7/2022,8/9/2022
4/25/2021,310744,4527582,8/7/2022,8/9/2022
5/2/2021,246112,4773694,8/7/2022,8/9/2022
5/9/2021,247764,5021458,8/7/2022,8/9/2022
5/16/2021,248475,5269933,8/7/2022,8/9/2022
5/23/2021,133618,5403551,8/7/2022,8/9/2022
5/30/2021,99502,5503053,8/7/2022,8/9/2022
6/6/2021,120971,5624024,8/7/2022,8/9/2022
6/13/2021,79330,5703354,8/7/2022,8/9/2022
6/20/2021,54525,5757879,8/7/2022,8/9/2022
6/27/2021,43859,5801738,8/7/2022,8/9/2022
7/4/2021,37189,5838927,8/7/2022,8/9/2022
7/11/2021,36742,5875669,8/7/2022,8/9/2022
7/18/2021,42219,5917888,8/7/2022,8/9/2022
7/25/2021,47926,5965814,8/7/2022,8/9/2022
8/1/2021,58374,6024188,8/7/2022,8/9/2022
8/8/2021,59037,6083225,8/7/2022,8/9/2022
8/15/2021,64847,6148072,8/7/2022,8/9/2022
8/22/2021,69278,6217350,8/7/2022,8/9/2022
8/29/2021,67915,6285265,8/7/2022,8/9/2022
9/5/2021,51395,6336660,8/7/2022,8/9/2022
9/12/2021,51570,6388230,8/7/2022,8/9/2022
9/19/2021,54550,6442780,8/7/2022,8/9/2022
9/26/2021,115220,6558000,8/7/2022,8/9/2022
10/3/2021,113848,6671848,8/7/2022,8/9/2022
10/10/2021,96063,6767911,8/7/2022,8/9/2022
10/17/2021,99103,6867014,8/7/2022,8/9/2022
10/24/2021,178007,7045021,8/7/2022,8/9/2022
10/31/2021,186334,7231355,8/7/2022,8/9/2022
11/7/2021,223577,7454932,8/7/2022,8/9/2022
11/14/2021,249454,7704386,8/7/2022,8/9/2022
11/21/2021,178637,7883023,8/7/2022,8/9/2022
11/28/2021,254226,8137249,8/7/2022,8/9/2022
12/5/2021,222113,8359362,8/7/2022,8/9/2022
12/12/2021,198151,8557513,8/7/2022,8/9/2022
12/19/2021,134525,8692038,8/7/2022,8/9/2022
12/26/2021,116616,8808654,8/7/2022,8/9/2022
1/2/2022,133117,8941771,8/7/2022,8/9/2022
1/9/2022,123683,9065454,8/7/2022,8/9/2022
1/16/2022,98750,9164204,8/7/2022,8/9/2022
1/23/2022,81304,9245508,8/7/2022,8/9/2022
1/30/2022,65227,9310735,8/7/2022,8/9/2022
2/6/2022,50809,9361544,8/7/2022,8/9/2022
2/13/2022,41204,9402748,8/7/2022,8/9/2022
2/20/2022,34363,9437111,8/7/2022,8/9/2022
2/27/2022,26957,9464068,8/7/2022,8/9/2022
3/6/2022,20507,9484575,8/7/2022,8/9/2022
3/13/2022,18411,9502986,8/7/2022,8/9/2022
3/20/2022,17768,9520754,8/7/2022,8/9/2022
3/27/2022,41558,9562312,8/7/2022,8/9/2022
4/3/2022,66417,9628729,8/7/2022,8/9/2022
4/10/2022,73534,9702263,8/7/2022,8/9/2022
4/17/2022,68968,9771231,8/7/2022,8/9/2022
4/24/2022,61012,9832243,8/7/2022,8/9/2022
5/1/2022,56012,9888255,8/7/2022,8/9/2022
5/8/2022,54594,9942849,8/7/2022,8/9/2022
5/15/2022,54448,9997297,8/7/2022,8/9/2022
5/22/2022,58404,10055701,8/7/2022,8/9/2022
5/29/2022,36921,10092622,8/7/2022,8/9/2022
6/5/2022,39375,10131997,8/7/2022,8/9/2022
6/12/2022,32612,10164609,8/7/2022,8/9/2022
6/19/2022,34175,10198784,8/7/2022,8/9/2022
6/26/2022,32213,10230997,8/7/2022,8/9/2022
7/3/2022,24027,10255024,8/7/2022,8/9/2022
7/10/2022,39116,10294140,8/7/2022,8/9/2022
7/17/2022,41073,10335213,8/7/2022,8/9/2022
7/24/2022,36125,10371338,8/7/2022,8/9/2022
7/31/2022,26696,10398034,8/7/2022,8/9/2022
8/7/2022,173,10398207,8/7/2022,8/9/2022
